state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"California",2005,"18-25y","California",16.95,26.4,.8418368,.9693878,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2005,"26+y","California",4.82,39.85,.4260204,1.071429,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2006,"12+y","California",6.55,37.52,.3239796,.8163266,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2006,"12-17y","California",6.83,33.19,.4719388,.994898,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2006,"18-25y","California",16.97,26.19,.7653061,.9183673,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2006,"26+y","California",4.54,40.3,.375,1.020408,"2006-7","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2007,"12+y","California",6.67,36.33,.3545918,.8673469,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2007,"12-17y","California",6.86,30.87,.4566326,.994898,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2007,"18-25y","California",17.27,24.5,.8163266,.8673469,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2007,"26+y","California",4.64,39.36,.4132653,1.096939,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2008,"12+y","California",7.68,34.56,.372449,.7908163,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2008,"12-17y","California",7.68,28.19,.5382653,.9438776,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2008,"18-25y","California",18.67,22.49,.8673469,.8673469,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2008,"26+y","California",5.57,37.76,.4566326,1.020408,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2002,"12+y","Colorado",8.49,28.74,.7627551,1.479592,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2002,"12-17y","Colorado",9.82,28.97,1.071429,1.760204,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2002,"18-25y","Colorado",21.67,17.51,1.683674,1.454082,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2002,"26+y","Colorado",6.01,30.67,.8622449,1.836735,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2003,"12+y","Colorado",7.33,31.15,.6581632,1.505102,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2003,"12-17y","Colorado",9.83,30.97,1.104592,1.862245,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2003,"18-25y","Colorado",18.91,20.96,1.556122,1.505102,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2003,"26+y","Colorado",4.95,32.97,.7397959,1.862245,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2004,"12+y","Colorado",7.53,32.09,.6505102,1.607143,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2004,"12-17y","Colorado",9.24,29.93,1.102041,1.938776,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2004,"18-25y","Colorado",20.97,20.16,1.683674,1.683674,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2004,"26+y","Colorado",4.94,34.49,.7066327,1.964286,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Colorado",2005,"12+y","Colorado",7.68,30.7,.6734694,1.505102,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
